date,action,asset,quantity,price,transactionfees
2025-01-01,BUY,BTC-USD,10.379184,94419.75781,1.0
2025-01-02,BUY,QQQM,93.306265,210.0500030517578,1.0
2025-01-02,SELL,BTC-USD,10.379184,96886.875,1.0
2025-01-03,BUY,GLD,4048.973535,243.4900054931641,20.24
2025-01-03,SELL,QQQM,93.306265,213.4600067138672,1.0
2025-01-07,BUY,SCHV,1502.516817,26.100000381469727,7.51
2025-01-07,BUY,BND,10.929829,71.08564758300781,1.0
2025-01-10,SELL,BND,10.929829,70.79744720458984,1.0
2025-01-10,SELL,GLD,4048.973535,248.2100067138672,20.24
2025-01-10,SELL,SCHV,1502.516817,25.770000457763672,7.51
2025-01-10,SELL,SCHV,0.0,25.770000457763672,1.0
2025-01-11,BUY,BTC-USD,10.82396,94566.59375,1.0
2025-01-13,BUY,QQQM,98.350724,208.13999938964844,1.0
2025-01-13,BUY,SCHV,15.739285,25.950000762939453,1.0
2025-01-14,SELL,BTC-USD,10.82396,96534.04688,1.0
2025-01-14,SELL,SCHV,15.739285,26.18000030517578,1.0
2025-01-15,BUY,SCHV,38670.898444,26.489999771118164,193.35
2025-01-15,SELL,QQQM,98.350724,212.66000366210935,1.0
2025-01-21,SELL,SCHV,38670.898444,27.209999084472656,193.35
2025-01-22,BUY,SCHV,39593.471627,27.06999969482422,197.97
2025-01-27,SELL,SCHV,39593.471627,27.309999465942383,197.97
2025-01-31,BUY,SCHV,39864.241792,27.11000061035156,199.32
2025-02-11,SELL,SCHV,39864.241792,27.270000457763672,199.32
2025-02-24,BUY,BTC-USD,11.885817,91418.17188,1.0
2025-02-25,SELL,BTC-USD,11.885817,88736.17188,1.0
2025-02-26,BUY,BTC-USD,12.511852,84347.02344,1.0
2025-02-27,BUY,QQQM,102.430422,206.0500030517578,1.0
